Kategoriya,Kichik Kategoriya (Turlar),Qo'shimchalar (Qulayliklar),Ijara Muddatlari
Ofis,Xususiy kabinet,Konditsioner,Kunlik
Ofis,Open space,Wi-Fi,Haftalik
Ofis,Virtual ofis,Printer/Skaner,Oylik
Ofis,Jamoaviy ofis (Team room),Kofe apparati,Yillik
Ofis,,Shaxsiy kabinet (Loker),
Ofis,,Muzlatgich,
Ofis,,Dam olish zonasi,
Ofis,,24/7 Kirish,
Ofis,,Xavfsizlik / Qorovul,
Ofis,,Avtoturargoh,
Ofis,,Yumshoq mebel,
,,,,
Kovorking,Belgilangan joy (Dedicated desk),Shaxsiy shkaf (Loker),Soatlik
Kovorking,Erkin joy (Hot desk),Konditsioner,Kunlik
Kovorking,Shovqinsiz hudud (Quiet zone),Wi-Fi,Haftalik
Kovorking,,Kofe/Choy,Oylik
Kovorking,,Oshxona,
Kovorking,,Doska (Whiteboard),
Kovorking,,Printer/Skaner,
Kovorking,,Dam olish xonasi (Lounge),
Kovorking,,O'yin zonasi (PS/Stol tennisi),
Kovorking,,Skype-xona,
Kovorking,,24/7 Kirish,
,,,,
Zal / Tadbir,Konferensiya zali,Proyektor,Soatlik
Zal / Tadbir,Trening / seminar zali,Katta ekran/LED,Kunlik
Zal / Tadbir,Banket / tantana zali,Ovoz tizimi,
Zal / Tadbir,Muzokara xonasi (Meeting room),Sahnasi bor,
Zal / Tadbir,Master-klass xonasi,Mikrofon,
Zal / Tadbir,Fotosudiya / Video studiya,Konditsioner,
Zal / Tadbir,Podkast xonasi,Flipchart/Doska,
Zal / Tadbir,,Kofe-breyk zonasi,
Zal / Tadbir,,Sinxron tarjima uskunalari,
Zal / Tadbir,,Garderob,
Zal / Tadbir,,Qabulxona (Reception),
Zal / Tadbir,,Avtoturargoh,
,,,,
Tijorat,Do'kon / savdo joyi,Vitrina,Oylik
Tijorat,Showroom,Katta oyna (Panoramik),Yillik
Tijorat,Ombor (Warehouse),Omborxona,
Tijorat,Kiosk / Orolcha (Island),Avtoturargoh,
Tijorat,Go'zallik saloni uchun joy,Kuzatuv kamerasi,
Tijorat,,Konditsioner,
Tijorat,,Yuk tushirish zonasi,
Tijorat,,Isitish tizimi,
Tijorat,,Signalizatsiya,
Tijorat,,24/7 Kirish,
,,,,
Turar-joy,Kvartira,Mebel bilan,Kunlik
Turar-joy,Xona,Texnika bilan,Oylik
Turar-joy,Uy / Kottej,Smart TV,
Turar-joy,Dala hovli (Dacha),Konditsioner,
Turar-joy,Hostel,Wi-Fi,
Turar-joy,,Balkon/Terrasa,
Turar-joy,,Avtoturargoh,
Turar-joy,,Hovli,
Turar-joy,,Hovuz (Basseyn),
Turar-joy,,Mangal/Barbekyu zonasi,
Turar-joy,,Kir yuvish mashinasi,
